,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
11/17/2021,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7
11/18/2021,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.8
11/19/2021,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,1.1,1.1,1,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7
11/20/2021,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8
11/21/2021,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.7
11/22/2021,0.9,0.9,0.9,0.9,0.8,0.9,1,0.8,0.9,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.9,1,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
11/23/2021,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7
11/24/2021,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7
11/25/2021,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.8
11/26/2021,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,1.1,1.1,1,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7
11/27/2021,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8
11/28/2021,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.7
11/29/2021,0.9,0.9,0.9,0.9,0.8,0.9,1,0.8,0.9,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.9,1,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
11/30/2021,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7
12/1/2021,0.9,0.8,0.9,0.9,0.8,1,0.8,0.9,1,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1.2,0.9,0.9,0.8,0.9,0.8,1,0.8,0.9,0.9,0.9,0.9,0.8
12/2/2021,1,0.9,0.8,0.9,0.8,0.9,1,0.8,0.9,0.8,1,0.8,0.9,0.8,0.9,0.8,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,1,0.8,0.8,1.1,0.8,0.8,0.9,1,0.8,0.8,1,0.8
12/3/2021,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,1,0.8,0.9,1,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.8,1,0.9,0.8,0.9,1,0.8,0.8,0.9,1,0.8,0.8,1.1,0.8,0.8,0.9,0.9,0.8,0.9,1,0.8,0.8,1,0.8
12/4/2021,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.8,1.1,0.8,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.9,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.9,1,0.8,0.9,1,0.8,0.8,0.9,0.9,0.8,0.8,1.1,0.8
12/5/2021,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.8,5.4,5.8,5.6,5.6,5.7,5.5,1,3.5,4.5,4.7,4.5,4.6,4.5,4.7,3.4,0.9,0.8,0.9,0.8,0.9,1,0.8,1.5,3.6,1.5,0.9,0.9,1,0.8,0.9,1,0.8,0.9,0.8
12/6/2021,1,0.9,0.8,1,0.8,0.9,1,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.8,0.7,0.9,0.7,0.8,0.9,0.8,0.9,0.9,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1.1,0.8,0.8,1,0.8,0.8
12/7/2021,0.8,0.9,0.8,0.8,1,0.8,0.8,1,0.9,0.8,1,0.9,0.8,0.9,0.9,0.8,1,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.8,1,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.8,1,0.8,0.9,1,0.8,0.9,1,0.8
12/8/2021,0.9,0.8,0.9,0.8,0.9,0.9,0.8,0.9,1,0.8,0.9,0.8,0.9,0.9,0.8,1,0.8,0.8,1,0.8,0.9,0.8,1,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.8,1,0.9,0.8,1,0.9,0.8,0.8,0.9,0.9,0.8,1,0.9
12/9/2021,0.8,0.9,0.8,0.8,0.9,0.8,0.9,1,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,0.9,1.1,0.8,0.9,0.8,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,0.9,1,0.8,0.8,1.1,0.8,0.8,0.8,1,0.8,0.8
12/10/2021,0.9,0.9,0.8,1,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,1,0.8,0.8,1,0.8,0.8,1.1,0.8,0.8,0.8,1.1,0.8,0.8,0.9
12/11/2021,1,0.8,0.8,1,0.8,0.8,0.9,1,0.8,0.8,1,0.9,0.8,0.8,0.8,0.9,0.9,0.8,1,0.8,0.9,0.8,1,0.9,0.8,0.8,1,0.9,0.8,0.8,0.9,0.8,0.8,0.8,1.1,0.8,0.8,1.1,0.8,0.9,0.8,1,0.8,0.8,0.9,1,0.8,0.8
12/12/2021,1.1,0.8,0.8,0.8,1,0.9,0.8,0.9,0.8,1,0.9,0.8,0.8,1,0.9,0.8,0.8,0.9,0.8,0.7,0.9,0.8,0.9,0.8,1,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.9,1,0.8,0.9,0.9,0.9,0.8,0.9,1,0.8,0.9,1,0.8,0.8,0.9
12/13/2021,1,0.8,0.9,1,0.8,0.9,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.9,0.8,1,0.8,0.8,0.8,1,0.9,0.8,0.9,0.9,0.8,0.8,1,0.9,0.8,0.9,0.9,0.8,0.8,2.1,2.5,0.9,1,0.9,0.8,0.8,1.1,0.8,0.8,1,0.9,0.8
12/14/2021,0.9,0.8,0.9,0.8,0.9,0.9,0.8,1,0.8,0.9,0.9,0.8,0.8,0.9,1,0.8,0.9,1,0.8,0.8,0.9,0.9,4.1,6.1,7.3,7.2,2.5,1.1,0.8,1,0.8,1,0.9,1,0.8,1,0.9,1,0.8,0.9,1,0.8,1,0.8,0.8,1,0.8,1
12/15/2021,0.8,0.9,0.9,0.8,0.8,1,0.8,0.9,1,0.8,1,0.9,0.8,0.9,0.9,0.8,1,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.8,0.9,1,0.9,0.9,1,0.8,0.9,0.8,1,0.9,0.8,1,0.9,0.8
12/16/2021,0.8,0.9,0.9,0.8,1,0.9,0.8,0.9,0.9,0.9,0.8,1,0.9,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.8,1,0.8,0.8,0.8,1,0.9,0.8,1,0.9,0.8,0.8,1,0.9,0.8,1,0.9,0.8,0.8,1,0.9,0.8,1,0.9,0.8,0.8,1,0.8
12/17/2021,0.8,1,0.8,0.8,1,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,1,0.9,0.8,0.9,0.9,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1
12/18/2021,0.8,0.9,0.8,1,0.9,0.8,1,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,1,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1.1,0.8,0.8,1,0.9,0.9,1,0.8,0.9,0.8,1,0.9
12/19/2021,0.8,0.9,1,0.8,0.8,1,0.9,0.8,1,0.8,0.9,0.8,1,1.2,5.7,5.7,5.7,5.7,5.7,5.6,2.1,2.3,5.3,7,6.9,7.9,7.4,3.3,6.3,6.7,3,2.3,2.1,2.2,2.1,1,1,0.9,0.9,0.9,1,0.9,1,1,0.9,0.9,0.9,1
12/20/2021,0.8,0.8,1.2,0.8,0.8,0.9,0.8,0.8,1,0.9,0.8,0.8,1,0.8,0.8,1,0.9,0.8,0.8,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.9,0.8,0.9,1.1,0.8,0.8,1,0.9
12/21/2021,0.8,0.9,0.9,0.8,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.8,0.9,0.9,0.8,0.9,1,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.9,1,0.8,0.9,1,0.8,0.8,1,0.8,0.8,0.9,1
12/22/2021,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,5.9,6.7,2.7,1.9,0.9,1,1,0.9,1,0.8,1.1,0.8,0.8,1,0.9,1,0.8,0.9,1,0.8,0.9
12/23/2021,1,0.8,0.8,1,0.8,1,0.9,0.8,1,0.8,0.9,1,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.9,0.8,1,0.9,0.9,1,0.9,0.8,0.9,0.9
12/24/2021,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.8,1,0.9,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.7,0.9,0.8,0.8,0.7,0.9,0.8,0.7,0.9,0.8,0.8,0.9,0.8,0.8,0.7,0.9,0.8,0.8,0.9,0.9,0.8,0.8,1,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.8
12/25/2021,0.9,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.9,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.9,1,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.8
12/26/2021,0.8,1,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.8,1,0.8,0.8,0.8,0.9,0.7,0.8,0.8,0.9,0.7,0.8,0.9,0.7,0.8,0.7,0.9,3.3,4.7,2.7,0.8,0.8,0.7,0.9,0.8,0.8,1,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.9
12/27/2021,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.8,1,0.8,0.8,0.8,0.8,0.9,0.8,0.7,0.9,0.8,0.8,0.8,0.7,0.9,0.8,0.7,0.7,0.9,0.8,0.8,0.9,0.8,0.7,0.7,0.9,0.8,0.8,0.8,1,0.8,0.8,0.8,0.9,0.8,0.8,1,0.9,0.8,0.8
12/28/2021,1,0.8,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,0.8,1,0.7,0.7,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,0.9,1,0.8,0.8,0.8,0.9,0.8,0.8,1,0.8,0.8,0.9,1,0.8,0.8,0.9,1,0.8,0.8,1.1,0.8,0.8
12/29/2021,0.9,0.8,1,0.8,0.9,0.8,0.8,1,0.8,0.8,0.9,0.8,0.8,0.8,1,0.9,0.8,0.9,0.9,0.8,0.8,0.9,0.8,3.4,6.2,7.2,3.5,2.4,0.8,1,0.9,1,0.8,1,0.9,1,0.8,1,0.8,1,0.8,0.9,0.9,0.8,1,0.8,0.8,0.9
12/30/2021,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.9,0.8,0.9,0.8,0.9,0.9,0.8,0.9,1,0.8,0.9,0.9,0.9,0.8,0.9,1,0.8
12/31/2021,0.9,0.9,0.8,0.9,1,0.8,0.8,1,0.9,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0.9,0.9,0.8,0.8,1,0.8,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9
